"tempo" "com" "a" "b" "status"
"1156093194" "CONN" "1" "1070" "down"
"1156085094" "CONN" "1" "1072" "up"
"1156085094" "CONN" "1" "1072" "down"
"1156085124" "CONN" "1" "1072" "up"
"1156085124" "CONN" "1" "1072" "down"
"1156084847" "CONN" "1" "1074" "up"
"1156084861" "CONN" "1" "1074" "down"
"1156084911" "CONN" "1" "1074" "up"
"1156084911" "CONN" "1" "1074" "down"
"1156084947" "CONN" "1" "1074" "up"
"1156084958" "CONN" "1" "1074" "down"
"1156085792" "CONN" "1" "1074" "up"
"1156085792" "CONN" "1" "1074" "down"
"1156085835" "CONN" "1" "1074" "up"
"1156085849" "CONN" "1" "1074" "down"
"1156086130" "CONN" "1" "1074" "up"
"1156086130" "CONN" "1" "1074" "down"
"1156086165" "CONN" "1" "1074" "up"
"1156086192" "CONN" "1" "1074" "down"
"1156086759" "CONN" "1" "1074" "up"
"1156086777" "CONN" "1" "1074" "down"
"1156086856" "CONN" "1" "1074" "up"
"1156086898" "CONN" "1" "1074" "down"
"1156086918" "CONN" "1" "1074" "up"
"1156086918" "CONN" "1" "1074" "down"
"1156086994" "CONN" "1" "1074" "up"
"1156086994" "CONN" "1" "1074" "down"
"1156087049" "CONN" "1" "1074" "up"
"1156087049" "CONN" "1" "1074" "down"
"1156087105" "CONN" "1" "1074" "up"
"1156087109" "CONN" "1" "1074" "down"
"1156087955" "CONN" "1" "1074" "up"
"1156087955" "CONN" "1" "1074" "down"
"1156088119" "CONN" "1" "1074" "up"
"1156088119" "CONN" "1" "1074" "down"
"1156089135" "CONN" "1" "1074" "up"
"1156089135" "CONN" "1" "1074" "down"
"1156089332" "CONN" "1" "1074" "up"
"1156089475" "CONN" "1" "1074" "down"
"1156089585" "CONN" "1" "1074" "up"
"1156089615" "CONN" "1" "1074" "down"
"1156089623" "CONN" "1" "1074" "up"
"1156089638" "CONN" "1" "1074" "down"
"1156089747" "CONN" "1" "1074" "up"
"1156089747" "CONN" "1" "1074" "down"
"1156089285" "CONN" "1" "1075" "up"
"1156089285" "CONN" "1" "1075" "down"
"1156086812" "CONN" "1" "108" "up"
"1156086812" "CONN" "1" "108" "down"
"1156086839" "CONN" "1" "108" "up"
"1156086839" "CONN" "1" "108" "down"
"1156086871" "CONN" "1" "108" "up"
"1156086884" "CONN" "1" "108" "down"
"1156086918" "CONN" "1" "108" "up"
"1156086918" "CONN" "1" "108" "down"
"1156086951" "CONN" "1" "108" "up"
"1156086951" "CONN" "1" "108" "down"
"1156086979" "CONN" "1" "108" "up"
"1156086979" "CONN" "1" "108" "down"
"1156087010" "CONN" "1" "108" "up"
"1156087012" "CONN" "1" "108" "down"
"1156087154" "CONN" "1" "108" "up"
"1156087154" "CONN" "1" "108" "down"
"1156087530" "CONN" "1" "108" "up"
"1156087530" "CONN" "1" "108" "down"
"1156087556" "CONN" "1" "108" "up"
"1156087558" "CONN" "1" "108" "down"
"1156087873" "CONN" "1" "1081" "up"
"1156087873" "CONN" "1" "1081" "down"
"1156087925" "CONN" "1" "1081" "up"
"1156087925" "CONN" "1" "1081" "down"
"1156087973" "CONN" "1" "1081" "up"
"1156087973" "CONN" "1" "1081" "down"
"1156088003" "CONN" "1" "1081" "up"
"1156088003" "CONN" "1" "1081" "down"
"1156088119" "CONN" "1" "1081" "up"
"1156088119" "CONN" "1" "1081" "down"
"1156088195" "CONN" "1" "1081" "up"
"1156088207" "CONN" "1" "1081" "down"
"1156088236" "CONN" "1" "1081" "up"
"1156088276" "CONN" "1" "1081" "down"
"1156088306" "CONN" "1" "1081" "up"
"1156088306" "CONN" "1" "1081" "down"
"1156091305" "CONN" "1" "1081" "up"
"1156091305" "CONN" "1" "1081" "down"
"1156093234" "CONN" "1" "1081" "up"
"1156093234" "CONN" "1" "1081" "down"
"1156093324" "CONN" "1" "1081" "up"
"1156093324" "CONN" "1" "1081" "down"
"1156093739" "CONN" "1" "1081" "up"
"1156093861" "CONN" "1" "1081" "down"
"1156087943" "CONN" "1" "1083" "up"
"1156087955" "CONN" "1" "1083" "down"
"1156091406" "CONN" "1" "1083" "up"
"1156091406" "CONN" "1" "1083" "down"
"1156093623" "CONN" "1" "1083" "up"
"1156093623" "CONN" "1" "1083" "down"
"1156087318" "CONN" "1" "1084" "up"
"1156087318" "CONN" "1" "1084" "down"
"1156085808" "CONN" "1" "1092" "up"
"1156085823" "CONN" "1" "1092" "down"
"1156085864" "CONN" "1" "1092" "up"
"1156085864" "CONN" "1" "1092" "down"
"1156086210" "CONN" "1" "1092" "up"
"1156086210" "CONN" "1" "1092" "down"
"1156086930" "CONN" "1" "1092" "up"
"1156086930" "CONN" "1" "1092" "down"
"1156086951" "CONN" "1" "1092" "up"
"1156086964" "CONN" "1" "1092" "down"
"1156086981" "CONN" "1" "1092" "up"
"1156086981" "CONN" "1" "1092" "down"
"1156087094" "CONN" "1" "1092" "up"
"1156087094" "CONN" "1" "1092" "down"
"1156087213" "CONN" "1" "1092" "up"
"1156087213" "CONN" "1" "1092" "down"
"1156087234" "CONN" "1" "1092" "up"
"1156087275" "CONN" "1" "1092" "down"
"1156087810" "CONN" "1" "1092" "up"
"1156087810" "CONN" "1" "1092" "down"
"1156088163" "CONN" "1" "1092" "up"
"1156088195" "CONN" "1" "1092" "down"
"1156089122" "CONN" "1" "1092" "up"
"1156089122" "CONN" "1" "1092" "down"
"1156090302" "CONN" "1" "1092" "up"
"1156090302" "CONN" "1" "1092" "down"
"1156091580" "CONN" "1" "1092" "up"
"1156091591" "CONN" "1" "1092" "down"
"1156091668" "CONN" "1" "1092" "up"
"1156091668" "CONN" "1" "1092" "down"
"1156091700" "CONN" "1" "1092" "up"
"1156091771" "CONN" "1" "1092" "down"
"1156091826" "CONN" "1" "1092" "up"
"1156091841" "CONN" "1" "1092" "down"
"1156092182" "CONN" "1" "1092" "up"
"1156092182" "CONN" "1" "1092" "down"
"1156093039" "CONN" "1" "1092" "up"
"1156093053" "CONN" "1" "1092" "down"
