"a" "b" "tempo"
"2" "592" 0
"2" "601" 0
"2" "603" 0
"2" "606" 0
"2" "611" 47000
"2" "615" 0
"2" "616" 0
"2" "624" 0
"2" "631" 0
"2" "637" 0
"2" "638" 0
"2" "639" 0
"2" "641" 0
"2" "642" 11000
"2" "644" 0
"2" "651" 0
"2" "652" 0
"2" "654" 0
"2" "658" 0
"2" "660" 0
"2" "662" 0
"2" "668" 0
"2" "674" 0
"2" "675" 0
"2" "682" 0
"2" "683" 0
"2" "687" 0
"2" "690" 0
"2" "691" 3000
"2" "703" 0
"2" "712" 0
"2" "713" 0
"2" "715" 0
"2" "720" 0
"2" "723" 0
"2" "727" 0
"2" "728" 0
"2" "735" 0
"2" "736" 0
"2" "737" 0
"2" "738" 0
"2" "739" 0
"2" "743" 0
"2" "744" 0
"2" "745" 0
"2" "752" 0
"2" "754" 0
"2" "755" 0
"2" "756" 0
"2" "758" 0
"2" "762" 0
"2" "763" 0
"2" "764" 0
"2" "771" 0
"2" "772" 0
"2" "779" 0
"2" "792" 12000
"2" "796" 4000
"2" "802" 856000
"2" "808" 41000
"2" "809" 11000
"2" "813" 166000
"2" "820" 0
"2" "826" 0
"2" "827" 0
"2" "840" 0
"2" "842" 0
"2" "843" 0
"2" "849" 0
"2" "851" 63000
"2" "855" 0
"2" "860" 76000
"2" "861" 31000
"2" "862" 0
"2" "863" 0
"2" "868" 0
"2" "873" 0
"2" "882" 130000
"2" "888" 0
"2" "891" 201000
"2" "900" 0
"2" "904" 27000
"2" "908" 0
"2" "916" 0
"2" "920" 322000
"2" "922" 0
"2" "923" 0
"2" "926" 68000
"2" "928" 0
"2" "934" 0
"2" "935" 0
"2" "939" 0
"2" "946" 0
"2" "947" 0
"2" "955" 0
"2" "957" 0
"2" "958" 0
"2" "960" 0
"2" "965" 0
"2" "966" 0
"2" "968" 0
"2" "970" 0
"2" "972" 0
"2" "978" 0
"2" "983" 0
"2" "987" 99000
"2" "992" 0
"2" "995" 0
"2" "996" 0
"2" "998" 0
"2" "1003" 13000
"2" "1005" 0
"2" "1007" 0
"2" "1021" 0
"2" "1027" 43000
"2" "1031" 0
"2" "1035" 0
"2" "1037" 0
