Nº de nós: 1112
Total Geral Contatos: 132510
Total Tipo Contato (A -> B): 15767
Total Tempo Contato: 1033288
Total Tempo Inter Contato: 30776014
Total Contatos(tempo = 0): 94106
Total Conexões(tempo > 0): 38404
Grau Geral: 15767
Grau Medio: 28.3579136690647
Densidade: 0.0127623373848176
Media Nº Contatos: 8.40426206634109
Media Tempo de Contatos: 65.5348512716433
Media Tempo Inter Contatos: 1951.92579438067
 
"a" "b" "num_contatos" "tempo_contatos" "inter_contatos" "media_tcontatos" "media_intercon" "porc_contatos" "porc_tempo_cont" "porc_inter_cont" "porc_media_tcont" "porc_media_tinter"
"1" "30" 33 143 8038 4.33333333333333 251.1875 0.000249037808467285 0.000138393168216412 0.000261177422131404 6.30733193799121e-05 8.56320435202089e-05
"1" "31" 13 69 3050 5.30769230769231 254.166666666667 9.81058033355973e-05 6.67771231254016e-05 9.91031522145785e-05 7.7255485867703e-05 8.66476678233847e-05
"1" "32" 20 28 8042 1.4 423.263157894737 0.000150932005131688 2.70979630074094e-05 0.000261307393478571 2.03775339535101e-05 0.000144294159372354
"1" "33" 19 38 8758 2 486.555555555556 0.000143385404875104 3.6775806938627e-05 0.000284572264621403 2.91107627907287e-05 0.000165871098316328
"1" "34" 39 128 7826 3.28205128205128 205.947368421053 0.000294317410006792 0.000123876402319586 0.000254288940731571 4.77715081694009e-05 7.02092819726463e-05
"1" "35" 22 24 7402 1.09090909090909 352.47619047619 0.000166025205644857 2.32268254349223e-05 0.000240511977931905 1.5878597885852e-05 0.000120162255218491
"1" "36" 10 133 7337 13.3 815.222222222222 7.54660025658441e-05 0.000128715324285194 0.000238399943540447 0.000193586572558346 0.000277916475986961
"1" "37" 17 50 6400 2.94117647058824 400 0.000128292204361935 4.83892196560881e-05 0.000207954155466657 4.28099452804833e-05 0.000136363542804015
"1" "38" 28 112 5769 4 213.666666666667 0.000211304807184363 0.000108391852029637 0.000187451175451116 5.82215255814573e-05 7.28408591144781e-05
"1" "39" 43 233 7704 5.41860465116279 183.428571428571 0.00032450381103313 0.000225493763597371 0.000250324814642988 7.88698573283695e-05 6.25324246286984e-05
"1" "40" 18 43 7828 2.38888888888889 460.470588235294 0.000135838804618519 4.16147289042358e-05 0.000254353926405154 3.47711888889259e-05 0.000156978501922034
"1" "41" 4 135 5494 33.75 1831.33333333333 3.01864010263376e-05 0.000130650893071438 0.000178515645333408 0.000491244122093546 0.00062431775347105
"1" "42" 12 0 7296 0 663.272727272727 9.05592030790129e-05 0 0.000237067737231989 0 0.000226115547340476
"1" "43" 22 21 6792 0.954545454545455 323.428571428571 0.000166025205644857 2.0323472255557e-05 0.000220691347488989 1.38937731501205e-05 0.000110259664610104
"1" "44" 29 75 8125 2.58620689655172 290.178571428571 0.000218851407440948 7.25838294841322e-05 0.000264004298932279 3.76432277466319e-05 9.892444511452e-05
"1" "45" 50 330 7927 6.6 161.775510204082 0.00037733001282922 0.000319368849730182 0.000257570717247529 9.60655172094046e-05 5.51507042758892e-05
"1" "46" 28 157 7146 5.60714285714286 264.666666666667 0.000211304807184363 0.000151942149720117 0.000232193811713239 8.16141028240071e-05 9.02272108219901e-05
"1" "47" 22 39 6704 1.77272727272727 319.238095238095 0.000166025205644857 3.77435913317487e-05 0.000217831977851323 2.58027215645095e-05 0.000108831094161681
"1" "48" 14 30 7798 2.14285714285714 599.846153846154 0.000105652403592182 2.90335317936529e-05 0.000253379141301404 3.11901029900664e-05 0.00020449286668956
"1" "49" 23 133 6680 5.78260869565217 303.636363636364 0.000173571805901441 0.000128715324285194 0.000217052149768323 8.41680750253677e-05 0.000103512325673957
"1" "50" 29 176 7433 6.06896551724138 265.464285714286 0.000218851407440948 0.00017033005318943 0.000241519255872447 8.83361077787628e-05 9.04991262198433e-05
"1" "51" 39 60 7974 1.53846153846154 209.842105263158 0.000294317410006792 5.80670635873058e-05 0.000259097880576737 2.23928944544067e-05 7.15370322578432e-05
"1" "52" 38 78 8151 2.05263157894737 220.297297297297 0.000286770809750208 7.54871826634975e-05 0.000264849112688862 2.98768354957478e-05 7.51012998240222e-05
"1" "53" 23 54 5910 2.34782608695652 268.636363636364 0.000173571805901441 5.22603572285752e-05 0.000192032665438741 3.4173504145638e-05 9.15805156786057e-05
"1" "54" 61 338 5375 5.54098360655738 89.5833333333333 0.000460342615651649 0.000327111124875156 0.0001746489977552 8.0651129698904e-05 3.05397517738159e-05
"1" "55" 59 404 6289 6.84745762711864 108.431034482759 0.00044524941513848 0.000390984894821192 0.000204347450582782 9.96673573513083e-05 3.69651000299333e-05
"1" "56" 42 96 8070 2.28571428571429 196.829268292683 0.000316957210776545 9.29073017396892e-05 0.000262217192908737 3.32694431894042e-05 6.71008408797807e-05
"1" "57" 16 35 5710 2.1875 380.666666666667 0.000120745604105351 3.38724537592617e-05 0.000185534098080408 3.18398968023595e-05 0.000129772638235154
"1" "58" 48 259 6518 5.39583333333333 138.68085106383 0.000362236812316052 0.000250656157818537 0.000211788310208073 7.85384121124867e-05 4.72775304253495e-05
"1" "59" 39 314 6965 8.05128205128205 183.289473684211 0.000294317410006792 0.000303884299440233 0.000226312608253947 0.000117189480978062 6.24850049756557e-05
"1" "60" 27 51 7639 1.88888888888889 293.807692307692 0.000203758206927779 4.93570040492099e-05 0.00024821278025153 2.74934981912437e-05 0.000100161644565372
"1" "61" 49 209 7934 4.26530612244898 165.291666666667 0.000369783412572636 0.000202266938162448 0.000257798167105071 6.20831573802275e-05 5.63493931566175e-05
"1" "62" 15 37 8675 2.46666666666667 619.642857142857 0.000113199003848766 3.58080225455052e-05 0.000281875359167695 3.59032741085654e-05 0.000211241738183006
"1" "70" 54 1056 7122 19.5555555555556 134.377358490566 0.000407516413855558 0.00102198031913658 0.000231413983630239 0.000284638569509347 4.5810431691047e-05
"1" "73" 4 62 1108 15.5 369.333333333333 3.01864010263376e-05 6.00026323735493e-05 3.60020631651649e-05 0.000225608411628147 0.000125909004522374
"1" "81" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "85" 23 349 4698 15.1739130434783 213.545454545455 0.000173571805901441 0.000337756753199495 0.000152651347247243 0.00022086209160792 7.27995368287799e-05
"1" "88" 26 246 4968 9.46153846153846 198.72 0.000196211606671195 0.000238074960707954 0.000161424413180992 0.000137716300894601 6.77454080650348e-05
"1" "90" 4 0 3066 0 1022 3.01864010263376e-05 0 9.96230376032452e-05 0 0.000348408851864259
"1" "91" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "95" 51 568 6504 11.1372549019608 130.08 0.000384876613085805 0.000549701535293161 0.00021133341049299 0.00016210699279543 4.43454241198657e-05
"1" "98" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "100" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "104" 1 18 0 18 0 7.54660025658441e-06 1.74201190761917e-05 0 0.000261996865116558 0
"1" "105" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "108" 10 17 729 1.7 81 7.54660025658441e-05 1.645233468307e-05 2.36872780211239e-05 2.47441483721194e-05 2.76136174178131e-05
"1" "113" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "114" 4 16 2270 4 756.666666666667 3.01864010263376e-05 1.54845502899482e-05 7.37587395170798e-05 5.82215255814573e-05 0.000257954368470929
"1" "115" 5 11 2576 2.2 644 3.7733001282922e-05 1.06456283243394e-05 8.37015475753293e-05 3.20218390698015e-05 0.000219545303914465
"1" "119" 1 17 0 17 0 7.54660025658441e-06 1.645233468307e-05 0 0.000247441483721194 0
"1" "120" 26 300 7520 11.5384615384615 300.8 0.000196211606671195 0.000290335317936529 0.000244346132673321 0.00016794670840805 0.000102545384188619
"1" "121" 18 161 7459 8.94444444444444 438.764705882353 0.000135838804618519 0.000155813287292604 0.00024236406962903 0.000130189800258537 0.000149578774378698
"1" "129" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "136" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "139" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "140" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "144" 5 0 6054 0 1513.5 3.7733001282922e-05 0 0.00019671163393674 0 0.000515965555084693
"1" "149" 1 19 0 19 0 7.54660025658441e-06 1.83879034693135e-05 0 0.000276552246511922 0
"1" "150" 5 34 157 6.8 39.25 3.7733001282922e-05 3.29046693661399e-05 5.10137537629142e-06 9.89765934884775e-05 1.3380672637644e-05
"1" "151" 19 133 4026 7 223.666666666667 0.000143385404875104 0.000128715324285194 0.000130816160923244 0.00010188766976755 7.62499476845785e-05
"1" "153" 8 0 2441 0 348.714285714286 6.03728020526753e-05 0 7.93150146084545e-05 0 0.000118879788565929
"1" "156" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "157" 2 38 149 19 149 1.50932005131688e-05 3.6775806938627e-05 4.8414326819581e-06 0.000276552246511922 5.07954196944957e-05
"1" "159" 3 0 136 0 68 2.26398007697532e-05 0 4.41902580366645e-06 0 2.31818022766826e-05
"1" "165" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "169" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "176" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "180" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "182" 1 11 0 11 0 7.54660025658441e-06 1.06456283243394e-05 0 0.000160109195349008 0
"1" "188" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "190" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "192" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "215" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "216" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "219" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "226" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "230" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "244" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "248" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "262" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "267" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "272" 1 3 0 3 0 7.54660025658441e-06 2.90335317936529e-06 0 4.3666144186093e-05 0
"1" "277" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "284" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "285" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "286" 1 0 0 0 0 7.54660025658441e-06 0 0 0 0
"1" "287" 2 0 122 0 122 1.50932005131688e-05 0 3.96412608858314e-06 0 4.15908805552246e-05
"1" "293" 1 15 0 15 0 7.54660025658441e-06 1.45167658968264e-05 0 0.000218330720930465 0
"1" "294" 13 47 3924 3.61538461538462 327 9.81058033355973e-05 4.54858664767229e-05 0.000127501891570494 5.26233019678557e-05 0.000111477196242282
