"a" "b" "contagem"
"2" "820" 1
"2" "826" 1
"2" "827" 1
"2" "840" 1
"2" "842" 1
"2" "843" 1
"2" "849" 1
"2" "851" 13
"2" "855" 1
"2" "860" 9
"2" "861" 6
"2" "862" 1
"2" "863" 1
"2" "868" 1
"2" "873" 2
"2" "882" 6
"2" "888" 1
"2" "891" 17
"2" "900" 1
"2" "904" 1
"2" "908" 1
"2" "916" 1
"2" "920" 29
"2" "922" 1
"2" "923" 1
"2" "926" 13
"2" "928" 1
"2" "934" 1
"2" "935" 1
"2" "939" 1
"2" "946" 1
"2" "947" 1
"2" "955" 1
"2" "957" 1
"2" "958" 1
"2" "960" 1
"2" "965" 1
"2" "966" 1
"2" "968" 1
"2" "970" 1
"2" "972" 1
"2" "978" 1
"2" "983" 1
"2" "987" 17
"2" "992" 1
"2" "995" 1
"2" "996" 2
"2" "998" 3
"2" "1003" 3
"2" "1005" 1
"2" "1007" 1
"2" "1021" 1
"2" "1027" 10
"2" "1031" 1
"2" "1035" 1
"2" "1037" 1
"2" "1038" 1
"2" "1045" 1
"2" "1046" 1
"2" "1048" 1
"2" "1054" 2
"2" "1056" 5
"2" "1058" 15
"2" "1060" 1
"2" "1070" 18
"2" "1072" 1
"2" "1074" 16
"2" "1075" 1
"2" "1080" 1
"2" "1081" 11
"2" "1082" 1
"2" "1083" 6
"2" "1087" 1
"2" "1090" 1
"2" "1091" 1
"2" "1092" 18
"2" "1093" 1
"2" "1095" 1
"2" "1107" 2
"2" "1109" 5
"3" "4" 32
"3" "5" 43
"3" "6" 17
"3" "7" 39
"3" "8" 46
"3" "9" 85
"3" "10" 18
"3" "11" 34
"3" "12" 54
"3" "13" 40
"3" "14" 22
"3" "15" 31
"3" "16" 44
"3" "17" 14
"3" "18" 11
"3" "19" 50
"3" "20" 10
"3" "21" 24
"3" "22" 11
"3" "23" 29
"3" "24" 13
"3" "25" 61
"3" "26" 58
"3" "27" 8
"3" "28" 27
"3" "29" 21
"3" "30" 60
"3" "31" 11
"3" "32" 23
"3" "33" 28
"3" "34" 30
"3" "35" 43
"3" "36" 40
"3" "37" 23
"3" "38" 41
"3" "39" 37
"3" "40" 48
"3" "41" 6
"3" "42" 12
"3" "43" 35
"3" "44" 38
"3" "45" 42
"3" "46" 46
"3" "47" 18
"3" "48" 17
"3" "49" 26
"3" "50" 49
"3" "51" 61
"3" "52" 42
"3" "53" 9
"3" "54" 51
"3" "55" 34
"3" "56" 22
"3" "57" 8
"3" "58" 41
"3" "59" 40
"3" "60" 32
"3" "61" 37
"3" "62" 7
"3" "70" 25
"3" "73" 5
"3" "85" 8
"3" "88" 26
"3" "90" 5
"3" "92" 1
"3" "95" 38
"3" "102" 1
"3" "104" 1
"3" "106" 2
"3" "108" 8
"3" "114" 10
"3" "115" 18
"3" "120" 24
"3" "121" 6
"3" "126" 1
"3" "136" 1
"3" "139" 1
"3" "144" 7
"3" "149" 1
"3" "150" 4
"3" "151" 26
"3" "153" 1
"3" "157" 1
"3" "159" 3
"3" "167" 1
"3" "173" 1
"3" "176" 1
"3" "197" 1
"3" "207" 1
"3" "209" 1
"3" "210" 1
"3" "211" 1
"3" "214" 1
"3" "218" 1
"3" "220" 1
"3" "224" 1
"3" "230" 1
"3" "236" 1
"3" "252" 1
"3" "253" 1
"3" "258" 1
"3" "265" 1
"3" "269" 1
"3" "270" 1
"3" "271" 4
"3" "272" 1
"3" "284" 1
"3" "285" 1
"3" "286" 1
"3" "287" 1
