"a" "b" "tinicio" "tfinal" "tcontato"
"1" "7" 1132000 1147000 15000
"1" "7" 2396000 2396000 0
"1" "7" 2814000 2814000 0
"1" "7" 2819000 2819000 0
"1" "7" 2956000 2961000 5000
"1" "7" 3013000 3016000 3000
"1" "7" 3033000 3051000 18000
"1" "7" 3052000 3052000 0
"1" "7" 3079000 3079000 0
"1" "7" 3110000 3112000 2000
"1" "7" 3149000 3149000 0
"1" "7" 3190000 3190000 0
"1" "7" 3205000 3209000 4000
"1" "7" 3490000 3490000 0
"1" "7" 3501000 3501000 0
"1" "7" 3553000 3553000 0
"1" "7" 3563000 3565000 2000
"1" "7" 3579000 3592000 13000
"1" "7" 3609000 3615000 6000
"1" "7" 3630000 3630000 0
"1" "7" 4814000 4814000 0
"1" "7" 4844000 4844000 0
"1" "7" 4847000 4847000 0
"1" "7" 5061000 5061000 0
"1" "7" 5062000 5062000 0
"1" "7" 5132000 5132000 0
"1" "7" 5135000 5135000 0
"1" "7" 5187000 5187000 0
"1" "7" 5270000 5288000 18000
"1" "7" 5575000 5588000 13000
"1" "7" 5863000 5863000 0
"1" "7" 5876000 5876000 0
"1" "7" 6398000 6422000 24000
"1" "7" 6579000 6579000 0
"1" "7" 6592000 6592000 0
"1" "7" 6633000 6633000 0
"1" "7" 6683000 6683000 0
"1" "7" 7643000 7645000 2000
"1" "7" 8404000 8404000 0
"1" "7" 8409000 8426000 17000
"1" "7" 8962000 8962000 0
"1" "7" 9040000 9040000 0
"1" "7" 9326000 9401000 75000
"1" "7" 9471000 9471000 0
"1" "7" 9605000 9605000 0
"1" "8" 1077000 1108000 31000
"1" "8" 1129000 1138000 9000
"1" "8" 2025000 2025000 0
"1" "8" 2061000 2061000 0
"1" "8" 2070000 2085000 15000
"1" "8" 2118000 2129000 11000
"1" "8" 2175000 2186000 11000
"1" "8" 2214000 2214000 0
"1" "8" 2392000 2392000 0
"1" "8" 2436000 2452000 16000
"1" "8" 2647000 2647000 0
"1" "8" 2697000 2715000 18000
"1" "8" 4770000 4770000 0
"1" "8" 4793000 4793000 0
"1" "8" 4819000 4819000 0
"1" "8" 6224000 6224000 0
"1" "8" 7818000 7833000 15000
"1" "8" 7859000 7859000 0
"1" "8" 8111000 8111000 0
"1" "8" 8688000 8717000 29000
"1" "8" 8965000 8965000 0
"1" "8" 9004000 9004000 0
"1" "8" 9025000 9025000 0
"1" "8" 9040000 9040000 0
"1" "9" 991000 991000 0
"1" "9" 1031000 1031000 0
"1" "9" 1041000 1041000 0
"1" "9" 1557000 1588000 31000
"1" "9" 1601000 1601000 0
"1" "9" 1637000 1637000 0
"1" "9" 1646000 1646000 0
"1" "9" 1694000 1694000 0
"1" "9" 1702000 1702000 0
"1" "9" 1729000 1729000 0
"1" "9" 1807000 1807000 0
"1" "9" 2144000 2144000 0
"1" "9" 2164000 2164000 0
"1" "9" 2197000 2197000 0
"1" "9" 2511000 2511000 0
"1" "9" 2538000 2538000 0
"1" "9" 2548000 2548000 0
"1" "9" 2560000 2560000 0
"1" "9" 2596000 2596000 0
"1" "9" 2924000 2924000 0
"1" "9" 2956000 2956000 0
"1" "9" 2998000 2998000 0
"1" "9" 3018000 3018000 0
"1" "9" 3042000 3042000 0
"1" "9" 3094000 3094000 0
"1" "9" 3095000 3095000 0
"1" "9" 3193000 3193000 0
"1" "9" 3194000 3194000 0
"1" "9" 3501000 3501000 0
"1" "9" 3525000 3563000 38000
"1" "9" 3577000 3577000 0
"1" "9" 3615000 3615000 0
"1" "9" 3657000 3657000 0
"1" "9" 3660000 3660000 0
"1" "9" 5049000 5049000 0
"1" "9" 5097000 5136000 39000
"1" "9" 5154000 5168000 14000
"1" "9" 5222000 5222000 0
"1" "9" 5226000 5226000 0
"1" "9" 5246000 5246000 0
"1" "9" 5257000 5257000 0
"1" "9" 5277000 5334000 57000
