"a" "b" "tinicio" "tfinal" "tcontato"
"1" "7" 5135 5135 0
"1" "7" 5187 5187 0
"1" "7" 5270 5288 18
"1" "7" 5575 5588 13
"1" "7" 5863 5863 0
"1" "7" 5876 5876 0
"1" "7" 6398 6422 24
"1" "7" 6579 6579 0
"1" "7" 6592 6592 0
"1" "7" 6633 6633 0
"1" "7" 6683 6683 0
"1" "7" 7643 7645 2
"1" "7" 8404 8404 0
"1" "7" 8409 8426 17
"1" "7" 8962 8962 0
"1" "7" 9040 9040 0
"1" "7" 9326 9401 75
"1" "7" 9471 9471 0
"1" "7" 9605 9605 0
"1" "8" 1077 1108 31
"1" "8" 1129 1138 9
"1" "8" 2025 2025 0
"1" "8" 2061 2061 0
"1" "8" 2070 2085 15
"1" "8" 2118 2129 11
"1" "8" 2175 2186 11
"1" "8" 2214 2214 0
"1" "8" 2392 2392 0
"1" "8" 2436 2452 16
"1" "8" 2647 2647 0
"1" "8" 2697 2715 18
"1" "8" 4770 4770 0
"1" "8" 4793 4793 0
"1" "8" 4819 4819 0
"1" "8" 6224 6224 0
"1" "8" 7818 7833 15
"1" "8" 7859 7859 0
"1" "8" 8111 8111 0
"1" "8" 8688 8717 29
"1" "8" 8965 8965 0
"1" "8" 9004 9004 0
"1" "8" 9025 9025 0
"1" "8" 9040 9040 0
"1" "9" 991 991 0
"1" "9" 1031 1031 0
"1" "9" 1041 1041 0
"1" "9" 1557 1588 31
"1" "9" 1601 1601 0
"1" "9" 1637 1637 0
"1" "9" 1646 1646 0
"1" "9" 1694 1694 0
"1" "9" 1702 1702 0
"1" "9" 1729 1729 0
"1" "9" 1807 1807 0
"1" "9" 2144 2144 0
"1" "9" 2164 2164 0
"1" "9" 2197 2197 0
"1" "9" 2511 2511 0
"1" "9" 2538 2538 0
"1" "9" 2548 2548 0
"1" "9" 2560 2560 0
"1" "9" 2596 2596 0
"1" "9" 2924 2924 0
"1" "9" 2956 2956 0
"1" "9" 2998 2998 0
"1" "9" 3018 3018 0
"1" "9" 3042 3042 0
"1" "9" 3094 3094 0
"1" "9" 3095 3095 0
"1" "9" 3193 3193 0
"1" "9" 3194 3194 0
"1" "9" 3501 3501 0
"1" "9" 3525 3563 38
"1" "9" 3577 3577 0
"1" "9" 3615 3615 0
"1" "9" 3657 3657 0
"1" "9" 3660 3660 0
"1" "9" 5049 5049 0
"1" "9" 5097 5136 39
"1" "9" 5154 5168 14
"1" "9" 5222 5222 0
"1" "9" 5226 5226 0
"1" "9" 5246 5246 0
"1" "9" 5257 5257 0
"1" "9" 5277 5334 57
"1" "9" 5355 5355 0
"1" "9" 5367 5367 0
"1" "9" 5605 5605 0
"1" "9" 5614 5614 0
"1" "9" 5655 5655 0
"1" "9" 5685 5701 16
"1" "9" 5714 5714 0
"1" "9" 5719 5769 50
"1" "9" 5799 5799 0
"1" "9" 5824 5828 4
"1" "9" 5892 5912 20
"1" "9" 5933 5934 1
"1" "9" 5977 5977 0
"1" "9" 5990 6003 13
"1" "9" 6035 6035 0
"1" "9" 6188 6188 0
"1" "9" 6250 6251 1
"1" "9" 6386 6402 16
"1" "9" 6612 6612 0
"1" "9" 6656 6683 27
"1" "9" 6706 6706 0
"1" "9" 6736 6736 0
"1" "9" 6747 6747 0
"1" "9" 6782 6782 0
"1" "9" 6857 6882 25
"1" "9" 6940 6940 0
"1" "9" 6964 6964 0
"1" "9" 6971 6971 0
"1" "9" 7015 7015 0
"1" "9" 7063 7063 0
"1" "9" 7130 7130 0
"1" "9" 7183 7220 37
"1" "9" 7276 7276 0
"1" "9" 7306 7306 0
"1" "9" 7343 7343 0
"1" "9" 7378 7400 22
"1" "9" 7439 7457 18
"1" "9" 7461 7485 24
"1" "9" 7522 7522 0
"1" "9" 7570 7570 0
"1" "9" 7592 7606 14
"1" "9" 7833 7856 23
"1" "9" 7874 7877 3
"1" "9" 7887 7909 22
"1" "9" 7929 7929 0
"1" "9" 7941 7941 0
"1" "9" 8001 8001 0
"1" "9" 8039 8039 0
"1" "9" 8074 8090 16
"1" "9" 8113 8113 0
"1" "9" 8120 8120 0
"1" "9" 8127 8142 15
"1" "9" 8202 8231 29
"1" "9" 8323 8323 0
"1" "9" 8548 8548 0
"1" "9" 8934 8934 0
"1" "9" 8963 8963 0
"1" "10" 3916 3946 30
"1" "10" 3959 3973 14
"1" "10" 3979 3979 0
"1" "10" 4007 4007 0
"1" "10" 4010 4010 0
"1" "10" 4224 4224 0
"1" "10" 4246 4246 0
"1" "10" 4341 4341 0
"1" "10" 4367 4367 0
"1" "10" 4396 4396 0
"1" "10" 4421 4421 0
"1" "10" 4422 4439 17
"1" "10" 4447 4487 40
"1" "10" 4516 4593 77
"1" "10" 4634 4651 17
"1" "10" 4663 4663 0
"1" "10" 4721 4721 0
"1" "10" 4752 4775 23
"1" "10" 6755 6773 18
"1" "10" 6801 6801 0
"1" "10" 6818 6818 0
"1" "10" 6824 6824 0
"1" "10" 6857 6857 0
"1" "10" 6906 6942 36
"1" "10" 6955 6955 0
"1" "10" 6957 6973 16
"1" "10" 7850 7850 0
"1" "10" 7908 7908 0
"1" "10" 7926 7926 0
"1" "10" 8113 8113 0
"1" "10" 8120 8127 7
"1" "10" 8145 8160 15
"1" "10" 8172 8172 0
"1" "10" 8186 8186 0
"1" "10" 8203 8203 0
"1" "10" 9337 9352 15
"1" "10" 9453 9453 0
"1" "11" 1532 1532 0
"1" "11" 1571 1571 0
"1" "11" 1730 1746 16
"1" "11" 1770 1785 15
"1" "11" 2074 2074 0
"1" "11" 2479 2479 0
"1" "11" 2507 2507 0
"1" "11" 2513 2525 12
"1" "11" 2545 2545 0
"1" "11" 2719 2719 0
"1" "11" 2727 2727 0
"1" "11" 3284 3298 14
"1" "11" 3300 3313 13
"1" "11" 3334 3346 12
"1" "11" 3354 3354 0
