"tempo" "com" "a" "b" "status"
"2575000" "CONN" "1" "108" "up"
"2577000" "CONN" "1" "108" "down"
"2719000" "CONN" "1" "108" "up"
"2719000" "CONN" "1" "108" "down"
"3095000" "CONN" "1" "108" "up"
"3095000" "CONN" "1" "108" "down"
"3121000" "CONN" "1" "108" "up"
"3123000" "CONN" "1" "108" "down"
"3438000" "CONN" "1" "1081" "up"
"3438000" "CONN" "1" "1081" "down"
"3490000" "CONN" "1" "1081" "up"
"3490000" "CONN" "1" "1081" "down"
"3538000" "CONN" "1" "1081" "up"
"3538000" "CONN" "1" "1081" "down"
"3568000" "CONN" "1" "1081" "up"
"3568000" "CONN" "1" "1081" "down"
"3684000" "CONN" "1" "1081" "up"
"3684000" "CONN" "1" "1081" "down"
"3760000" "CONN" "1" "1081" "up"
"3772000" "CONN" "1" "1081" "down"
"3801000" "CONN" "1" "1081" "up"
"3841000" "CONN" "1" "1081" "down"
"3871000" "CONN" "1" "1081" "up"
"3871000" "CONN" "1" "1081" "down"
"6870000" "CONN" "1" "1081" "up"
"6870000" "CONN" "1" "1081" "down"
"8799000" "CONN" "1" "1081" "up"
"8799000" "CONN" "1" "1081" "down"
"8889000" "CONN" "1" "1081" "up"
"8889000" "CONN" "1" "1081" "down"
"9304000" "CONN" "1" "1081" "up"
"9426000" "CONN" "1" "1081" "down"
"3508000" "CONN" "1" "1083" "up"
"3520000" "CONN" "1" "1083" "down"
"6971000" "CONN" "1" "1083" "up"
"6971000" "CONN" "1" "1083" "down"
"9188000" "CONN" "1" "1083" "up"
"9188000" "CONN" "1" "1083" "down"
"2883000" "CONN" "1" "1084" "up"
"2883000" "CONN" "1" "1084" "down"
"1373000" "CONN" "1" "1092" "up"
"1388000" "CONN" "1" "1092" "down"
"1429000" "CONN" "1" "1092" "up"
"1429000" "CONN" "1" "1092" "down"
"1775000" "CONN" "1" "1092" "up"
"1775000" "CONN" "1" "1092" "down"
"2495000" "CONN" "1" "1092" "up"
"2495000" "CONN" "1" "1092" "down"
"2516000" "CONN" "1" "1092" "up"
"2529000" "CONN" "1" "1092" "down"
"2546000" "CONN" "1" "1092" "up"
"2546000" "CONN" "1" "1092" "down"
"2659000" "CONN" "1" "1092" "up"
"2659000" "CONN" "1" "1092" "down"
"2778000" "CONN" "1" "1092" "up"
"2778000" "CONN" "1" "1092" "down"
"2799000" "CONN" "1" "1092" "up"
"2840000" "CONN" "1" "1092" "down"
"3375000" "CONN" "1" "1092" "up"
"3375000" "CONN" "1" "1092" "down"
"3728000" "CONN" "1" "1092" "up"
"3760000" "CONN" "1" "1092" "down"
"4687000" "CONN" "1" "1092" "up"
"4687000" "CONN" "1" "1092" "down"
"5867000" "CONN" "1" "1092" "up"
"5867000" "CONN" "1" "1092" "down"
"7145000" "CONN" "1" "1092" "up"
"7156000" "CONN" "1" "1092" "down"
"7233000" "CONN" "1" "1092" "up"
"7233000" "CONN" "1" "1092" "down"
"7265000" "CONN" "1" "1092" "up"
"7336000" "CONN" "1" "1092" "down"
"7391000" "CONN" "1" "1092" "up"
"7406000" "CONN" "1" "1092" "down"
"7747000" "CONN" "1" "1092" "up"
"7747000" "CONN" "1" "1092" "down"
"8604000" "CONN" "1" "1092" "up"
"8618000" "CONN" "1" "1092" "down"
"9544000" "CONN" "1" "1092" "up"
